Simulation Filename,Realistic Filename,Mean Square Error(MSE),Structural Similarity(SSIM),ERROR,Img Subtraction
2.0002.png,2.0001.png,0.01778814,0.92,0.07999999999999996,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
2.0004.png,2.0003.png,0.05827379,0.8,0.19999999999999996,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
2.0006.png,2.0005.png,0.07110909,0.79,0.20999999999999996,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
2.0008.png,2.0007.png,0.08753415,0.7,0.30000000000000004,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.02352941]
 [0.         0.         0.         ... 0.         0.         0.02745098]]"
2.0010.png,2.0009.png,0.10423452,0.51,0.49,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.05098039 0.05098039 0.03921569]
 [0.         0.         0.         ... 0.04705882 0.05098039 0.04705882]
 [0.         0.         0.         ... 0.04313725 0.05490196 0.05098039]]"
2.0012.png,2.0011.png,0.10671668,0.39,0.61,"[[0.05882353 0.01568627 0.18431373 ... 0.5254902  0.5254902  0.47058824]
 [0.05882353 0.00784314 0.10588235 ... 0.6745098  0.61176471 0.56470588]
 [0.         0.04313725 0.1254902  ... 0.76470588 0.76078431 0.7372549 ]
 ...
 [0.         0.         0.         ... 0.34117647 0.24705882 0.17647059]
 [0.         0.         0.         ... 0.3372549  0.24705882 0.17647059]
 [0.         0.         0.         ... 0.3254902  0.23921569 0.16470588]]"
2.0014.png,2.0013.png,0.11073295,0.4,0.6,"[[0.07058824 0.02745098 0.03529412 ... 0.27058824 0.25098039 0.2745098 ]
 [0.12156863 0.09411765 0.05490196 ... 0.23137255 0.14117647 0.15686275]
 [0.15294118 0.12941176 0.11764706 ... 0.1254902  0.07058824 0.07058824]
 ...
 [0.00392157 0.00392157 0.00784314 ... 0.01176471 0.00392157 0.        ]
 [0.         0.00392157 0.00784314 ... 0.0745098  0.04705882 0.01176471]
 [0.00392157 0.         0.00392157 ... 0.12941176 0.09803922 0.04705882]]"
2.0016.png,2.0015.png,0.15308791,0.28,0.72,"[[0.00392157 0.00392157 0.         ... 0.         0.         0.        ]
 [0.00392157 0.00392157 0.         ... 0.         0.         0.        ]
 [0.00392157 0.00392157 0.         ... 0.         0.         0.        ]
 ...
 [0.02745098 0.06666667 0.12156863 ... 0.19215686 0.08235294 0.04313725]
 [0.00392157 0.03529412 0.07843137 ... 0.10588235 0.01960784 0.01960784]
 [0.00784314 0.01568627 0.04313725 ... 0.02745098 0.         0.        ]]"
2.0018.png,2.0017.png,0.1119885,0.25,0.75,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.01568627 0.02745098 ... 0.4        0.51764706 0.49019608]
 [0.00392157 0.02352941 0.03529412 ... 0.38823529 0.44313725 0.39607843]
 [0.00784314 0.02352941 0.03137255 ... 0.37254902 0.40784314 0.32156863]]"
2.0020.png,2.0019.png,0.13362016,0.19,0.81,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.21568627 0.13333333 0.07058824]
 [0.00784314 0.00784314 0.00784314 ... 0.23529412 0.18039216 0.11372549]
 [0.03137255 0.02745098 0.01960784 ... 0.25882353 0.22352941 0.16078431]]"
